Object_ID, Length, Assignment
scaffold91236-11954,150,NA
scaffold43293-892,150,NA
scaffold15115-7052,150,NA
scaffold74570-21194,150,NA
scaffold74348-29253,150,NA
scaffold134569-23457,150,NA
scaffold40694-6781,150,NA
scaffold91793-65884,150,NA
scaffold100903-3495,150,NA
scaffold106126-28444,150,NA
scaffold82793-39659,150,NA
scaffold15115-12795,150,NA
scaffold108348-22689,150,NA
scaffold24893-2079,150,NA
scaffold70126-25163,150,NA
scaffold70237-165616,150,NA
scaffold91014-38595,150,NA
scaffold98792-45698,150,NA
scaffold104348-29469,150,NA
scaffold82682-59560,150,NA
scaffold74570-106065,150,NA
scaffold104793-13370,150,NA
scaffold135014-18080,150,NA
scaffold70682-41401,150,NA
scaffold105792-22473,150,NA
scaffold69014-68924,150,NA
scaffold83793-42142,150,NA
scaffold97015-8357,150,NA
scaffold131236-26258,150,NA
scaffold2338-8277,150,NA
scaffold99681-48956,150,NA
scaffold68792-30574,150,NA
scaffold85904-48082,150,NA
scaffold126459-28075,150,NA
scaffold89237-46950,150,NA
scaffold97237-34163,150,NA
scaffold102347-41151,150,NA
scaffold89459-28320,150,NA
scaffold73570-10180,150,NA
scaffold110681-34504,150,NA
scaffold69793-169380,150,NA
scaffold118459-2843,150,NA
scaffold23449-17519,150,NA
scaffold83793-53910,150,NA
scaffold110459-12746,150,NA
scaffold126459-14603,150,NA
scaffold74459-75525,150,NA
scaffold121347-12601,150,NA
scaffold70682-190169,150,NA
scaffold77015-92599,150,NA
scaffold96570-12017,150,NA
scaffold89792-1025,150,NA
scaffold129570-4724,150,NA
scaffold110348-9540,150,NA
scaffold37004-8712,150,NA
scaffold68792-233151,150,NA
scaffold77126-100408,150,NA
scaffold69238-194571,150,NA
scaffold40004-932,150,NA
scaffold74126-5074,150,NA
scaffold71460-158665,150,NA
scaffold86903-32327,150,NA
scaffold82126-81749,150,NA
scaffold129348-25407,150,NA
scaffold86185-13,150,NA
scaffold103793-11156,150,NA
scaffold74015-15480,150,NA
scaffold71126-56687,150,NA
scaffold21559-3500,150,NA
scaffold80793-108397,150,NA
scaffold117792-44166,150,NA
scaffold72459-166029,150,NA
scaffold113682-11556,150,NA
scaffold33671-18281,150,NA
scaffold70349-9761,150,NA
scaffold10892-2578,150,NA
scaffold114570-33303,150,NA
scaffold96782-7,150,NA
scaffold72682-136258,150,NA
scaffold88014-56628,150,NA
scaffold102014-4128,150,NA
scaffold72015-69988,150,NA
scaffold95570-18414,150,NA
scaffold98681-50553,150,NA
scaffold69904-124389,150,1224
scaffold82237-18796,150,NA
scaffold83682-26076,150,NA
scaffold75904-101496,150,NA
scaffold110125-5127,150,NA
scaffold39971-4852,150,NA
scaffold80904-50571,150,NA
scaffold74570-46483,150,NA
scaffold109681-351,150,NA
scaffold2004-37551,150,NA
scaffold89570-56876,150,NA
scaffold71126-183993,150,NA
scaffold134792-22620,150,NA
scaffold37115-3985,150,NA
scaffold72459-57501,150,NA
scaffold105570-81093,150,NA
scaffold116237-37212,150,NA
scaffold92126-1680,150,NA
scaffold41572-2360,150,NA
scaffold93126-68085,150,NA
scaffold88570-74466,150,NA
scaffold76570-138337,150,NA
scaffold89792-74561,150,NA
scaffold67705-5,150,NA
scaffold85681-62315,150,NA
scaffold12004-13532,150,1855361
scaffold106903-51850,150,NA
scaffold40149-5025,150,NA
scaffold122236-14114,150,NA
scaffold97459-35267,150,NA
scaffold73459-66026,150,NA
scaffold72126-159726,150,NA
scaffold118237-5515,150,NA
scaffold78903-96966,150,NA
scaffold41627-7342,150,NA
scaffold114904-8526,150,NA
scaffold102793-19645,150,NA
scaffold6115-12857,150,NA
scaffold112236-23063,150,NA
scaffold124904-22359,150,NA
scaffold77459-46546,150,NA
scaffold71682-52851,150,NA
scaffold117348-8345,150,NA
scaffold95126-10903,150,NA
scaffold78792-25869,150,NA
scaffold74348-144026,150,NA
scaffold81571-71707,150,NA
scaffold98792-72668,150,NA
scaffold33338-17709,150,NA
scaffold71460-6924,150,NA
scaffold72571-121453,150,NA
scaffold23560-13411,150,NA
scaffold82015-35894,150,NA
scaffold111903-40640,150,NA
scaffold40093-3537,150,NA
scaffold92126-60593,150,NA
scaffold72126-67061,150,NA
scaffold103126-7318,150,NA
scaffold71682-161320,150,NA
scaffold81682-96418,150,NA
scaffold119459-16064,150,NA
scaffold70237-37950,150,NA
