Object_ID, Length, Assignment
NW_003302549.1-2422902,150,NA
NW_003302554.1-1705183,150,NA
NW_003302554.1-861988,150,NA
NW_003302548.1-1129901,150,NA
NW_003302552.1-1086684,150,NA
NW_003302554.1-1338376,150,NA
NW_003302553.1-442582,150,NA
NW_003302553.1-2320549,150,NA
NW_003302552.1-1726499,150,NA
NW_003302554.1-1928751,150,NA
NW_003302555.1-3219619,150,NA
NW_003302555.1-2371133,150,NA
NW_003302549.1-1277056,150,NA
NW_003302552.1-254770,150,NA
NW_003302550.1-17333,150,NA
NW_003302548.1-246152,150,NA
NW_003302553.1-1982774,150,NA
NW_003302551.1-1676234,150,NA
NW_003302549.1-2048934,150,NA
NW_003302550.1-362813,150,NA
NW_003302431.1-289,150,NA
NW_003302551.1-1351376,150,NA
NW_003302548.1-965523,150,NA
NW_003302553.1-695641,150,NA
NW_003302555.1-408639,150,NA
NW_003302552.1-387825,150,NA
NW_003302553.1-1635056,150,NA
NW_003302554.1-860606,150,NA
NW_003302554.1-903958,150,NA
NW_003302555.1-3496,150,NA
NW_003302555.1-800793,150,NA
NW_003302550.1-2435237,150,NA
NW_003302555.1-188162,150,NA
NW_003302554.1-641675,150,NA
NW_003302550.1-1515749,150,NA
NW_003302549.1-1284704,150,NA
NW_003302553.1-1862096,150,203691
NW_003302551.1-1836426,150,NA
NW_003302549.1-2213558,150,200795
NW_003302552.1-870668,150,NA
NW_003302548.1-1753515,150,NA
NW_003302548.1-1606361,150,NA
NW_003302550.1-1446012,150,NA
NW_003302550.1-561497,150,NA
NW_003302554.1-576105,150,NA
NW_003302552.1-1750523,150,NA
NW_003302551.1-912577,150,NA
NW_003302548.1-1128385,150,NA
NW_003302549.1-2464519,150,NA
NW_003302550.1-593205,150,NA
NW_003302548.1-745008,150,NA
NW_003302550.1-929845,150,NA
NW_003302555.1-2154487,150,NA
NW_003302553.1-51950,150,NA
NW_003302549.1-1641509,150,NA
NW_003302553.1-1931854,150,NA
NW_003302555.1-1934937,150,1224
NW_003302552.1-242278,150,NA
NW_003302551.1-123842,150,NA
NW_003302548.1-954094,150,NA
NW_003302551.1-1281721,150,NA
NW_003302545.1-34964,150,NA
NW_003302550.1-677500,150,NA
NW_003302555.1-2629519,150,NA
NW_003302555.1-1727660,150,NA
NW_003302551.1-286763,150,NA
NW_003302548.1-2287502,150,200795
NW_003302555.1-156622,150,NA
NW_003302549.1-1861324,150,NA
NW_003302549.1-1066107,150,NA
NW_003302553.1-1279221,150,NA
NW_003302549.1-346206,150,NA
NW_003302548.1-2025228,150,NA
NW_003302555.1-2914988,150,NA
NW_003302555.1-2755487,150,NA
NW_003302555.1-3232633,150,NA
NW_003302554.1-863036,150,NA
NW_003302551.1-957854,150,NA
NW_003302551.1-922306,150,NA
NW_003302549.1-2099745,150,NA
NW_003302549.1-863467,150,NA
NW_003302227.1-586,150,NA
NW_003302554.1-1527376,150,NA
NW_003302548.1-514502,150,NA
NW_003302555.1-2924471,150,NA
NW_003302508.1-1866,150,NA
NW_003302553.1-1405730,150,NA
NW_003302552.1-1913225,150,NA
NW_003302548.1-1614895,150,NA
NW_003302549.1-207717,150,NA
NW_003302253.1-334,150,NA
NW_003302548.1-1844598,150,NA
NW_003302549.1-1533082,150,NA
NW_003302521.1-4612,150,NA
